LL List Numbers,LL List Words,Short Long List Numbers,Short Long Words,SS List Numbers,SS List Words,12-Bit List Numbers,12-Bit List Word,11-Bit List Number,11-Bit List Word,Reinhold Index Number,Reinhold Index Word
61551,tacking,,,,,,,,,61551,trade
61552,tackle,,,,,,,,,61552,trag
61553,tackling,,,,,,,,,61553,trail
61554,tacky,,,,,,,,,61554,train
61555,taco,,,,,,,,,61555,trait
61556,tactful,,,,,,,,,61556,tram
61561,tactical,,,,,,,,,61561,tramp
61562,tactics,,,,,,,,,61562,trap
61563,tactile,,,,,,,,,61563,trash
61564,tactless,,,,,,,,,61564,trawl
61565,tadpole,,,,,,,,,61565,tray
61566,taekwondo,,,,,,,,,61566,tread
61611,tag,,,,,,,,,61611,treat
61612,tainted,,,,,,,,,61612,treble
61613,take,,,,,,,,,61613,tree
61614,taking,,,,,,,,,61614,trek
61615,talcum,,,,,,,,,61615,trench
61616,talisman,,,,,,,,,61616,trend
61621,tall,,,,,,,,,61621,tress
61622,talon,,,,,,,,,61622,triad
61623,tamale,,,,,,,,,61623,trial
61624,tameness,,,,,,,,,61624,tribe
61625,tamer,,,,,,,,,61625,trick
61626,tamper,,,,,,,,,61626,tried
61631,tank,,,,,,,,,61631,trig
61632,tanned,,,,,,,,,61632,trill
61633,tannery,,,,,,,,,61633,trim
61634,tanning,,,,,,,,,61634,trio
61635,tantrum,,,,,,,,,61635,trip
61636,tapeless,,,,,,,,,61636,tripe
61641,tapered,,,,,,,,,61641,trite
61642,tapering,,,,,,,,,61642,triton
61643,tapestry,,,,,,,,,61643,trod
61644,tapioca,,,,,,,,,61644,troll
61645,tapping,,,,,,,,,61645,troop
61646,taps,,,,,,,,,61646,trot
61651,tarantula,,,,,,,,,61651,trout
61652,target,,,,,,,,,61652,troy
61653,tarmac,,,,,,,,,61653,truce
61654,tarnish,,,,,,,,,61654,truck
61655,tarot,,,,,,,,,61655,trudge
61656,tartar,,,,,,,,,61656,trudy
61661,tartly,,,,,,,,,61661,TRUE
61662,tartness,,,,,,,,,61662,truly
61663,task,,,,,,,,,61663,trump
61664,tassel,,,,,,,,,61664,trunk
61665,taste,,,,,,,,,61665,truss
61666,tastiness,,,,,,,,,61666,trust
62111,tasting,,,,,,,,,62111,truth
62112,tasty,,,,,,,,,62112,trw
62113,tattered,,,,,,,,,62113,try
62114,tattle,,,,,,,,,62114,ts
62115,tattling,,,,,,,,,62115,tsar
62116,tattoo,,,,,,,,,62116,tt
62121,taunt,,,,,,,,,62121,ttl
62122,tavern,,,,,,,,,62122,ttt
62123,thank,,,,,,,,,62123,tttt
62124,that,,,,,,,,,62124,tty
62125,thaw,,,,,,,,,62125,tu
62126,theater,,,,,,,,,62126,tub
62131,theatrics,,,,,,,,,62131,tuba
62132,thee,,,,,,,,,62132,tube
62133,theft,,,,,,,,,62133,tuck
62134,theme,,,,,,,,,62134,tudor
62135,theology,,,,,,,,,62135,tuff
62136,theorize,,,,,,,,,62136,tuft
62141,thermal,,,,,,,,,62141,tug
62142,thermos,,,,,,,,,62142,tulane
62143,thesaurus,,,,,,,,,62143,tulip
62144,these,,,,,,,,,62144,tulle
62145,thesis,,,,,,,,,62145,tulsa
62146,thespian,,,,,,,,,62146,tum
62151,thicken,,,,,,,,,62151,tun
62152,thicket,,,,,,,,,62152,tuna
62153,thickness,,,,,,,,,62153,tune
62154,thieving,,,,,,,,,62154,tung
62155,thievish,,,,,,,,,62155,tunic
62156,thigh,,,,,,,,,62156,tunis
62161,thimble,,,,,,,,,62161,tunnel
62162,thing,,,,,,,,,62162,tuple
62163,think,,,,,,,,,62163,turf
62164,thinly,,,,,,,,,62164,turin
62165,thinner,,,,,,,,,62165,turk
62166,thinness,,,,,,,,,62166,turn
62211,thinning,,,,,,,,,62211,turvy
62212,thirstily,,,,,,,,,62212,tusk
62213,thirsting,,,,,,,,,62213,tussle
62214,thirsty,,,,,,,,,62214,tutor
62215,thirteen,,,,,,,,,62215,tutu
62216,thirty,,,,,,,,,62216,tuv
62221,thong,,,,,,,,,62221,tv
62222,thorn,,,,,,,,,62222,tva
62223,those,,,,,,,,,62223,tw
62224,thousand,,,,,,,,,62224,twa
62225,thrash,,,,,,,,,62225,twain
62226,thread,,,,,,,,,62226,tweak
62231,threaten,,,,,,,,,62231,tweed
62232,threefold,,,,,,,,,62232,twice
62233,thrift,,,,,,,,,62233,twig
62234,thrill,,,,,,,,,62234,twill
62235,thrive,,,,,,,,,62235,twin
62236,thriving,,,,,,,,,62236,twine
62241,throat,,,,,,,,,62241,twirl
62242,throbbing,,,,,,,,,62242,twist
62243,throng,,,,,,,,,62243,twisty
62244,throttle,,,,,,,,,62244,twit
62245,throwaway,,,,,,,,,62245,two
62246,throwback,,,,,,,,,62246,twx
62251,thrower,,,,,,,,,62251,tx
62252,throwing,,,,,,,,,62252,ty
62253,thud,,,,,,,,,62253,tyburn
62254,thumb,,,,,,,,,62254,tying
62255,thumping,,,,,,,,,62255,tyler
62256,thursday,,,,,,,,,62256,type
62261,thus,,,,,,,,,62261,typic
62262,thwarting,,,,,,,,,62262,typo
62263,thyself,,,,,,,,,62263,tyson
62264,tiara,,,,,,,,,62264,tz
62265,tibia,,,,,,,,,62265,u
62266,tidal,,,,,,,,,62266,u's
62311,tidbit,,,,,,,,,62311,ua
62312,tidiness,,,,,,,,,62312,ub
62313,tidings,,,,,,,,,62313,uc
62314,tidy,,,,,,,,,62314,ucla
62315,tiger,,,,,,,,,62315,ud
62316,tighten,,,,,,,,,62316,ue
62321,tightly,,,,,,,,,62321,uf
62322,tightness,,,,,,,,,62322,ug
62323,tightrope,,,,,,,,,62323,ugh
62324,tightwad,,,,,,,,,62324,ugly
62325,tigress,,,,,,,,,62325,uh
62326,tile,,,,,,,,,62326,ui
62331,tiling,,,,,,,,,62331,uj
62332,till,,,,,,,,,62332,uk
62333,tilt,,,,,,,,,62333,ul
62334,timid,,,,,,,,,62334,ulan
62335,timing,,,,,,,,,62335,ulcer
62336,timothy,,,,,,,,,62336,ultra
62341,tinderbox,,,,,,,,,62341,um
62342,tinfoil,,,,,,,,,62342,umber
62343,tingle,,,,,,,,,62343,umbra
62344,tingling,,,,,,,,,62344,umpire
62345,tingly,,,,,,,,,62345,un
62346,tinker,,,,,,,,,62346,unary
62351,tinkling,,,,,,,,,62351,uncle
62352,tinsel,,,,,,,,,62352,under
62353,tinsmith,,,,,,,,,62353,unify
62354,tint,,,,,,,,,62354,union
62355,tinwork,,,,,,,,,62355,unit
62356,tiny,,,,,,,,,62356,unite
62361,tipoff,,,,,,,,,62361,unity
62362,tipped,,,,,,,,,62362,unix
62363,tipper,,,,,,,,,62363,until
62364,tipping,,,,,,,,,62364,uo
62365,tiptoeing,,,,,,,,,62365,up
62366,tiptop,,,,,,,,,62366,upend
62411,tiring,,,,,,,,,62411,uphold
62412,tissue,,,,,,,,,62412,upon
62413,trace,,,,,,,,,62413,upper
62414,tracing,,,,,,,,,62414,uproar
62415,track,,,,,,,,,62415,upset
62416,traction,,,,,,,,,62416,uptake
62421,tractor,,,,,,,,,62421,upton
62422,trade,,,,,,,,,62422,uq
62423,trading,,,,,,,,,62423,ur
62424,tradition,,,,,,,,,62424,urban
62425,traffic,,,,,,,,,62425,urbane
62426,tragedy,,,,,,,,,62426,urea
62431,trailing,,,,,,,,,62431,urge
62432,trailside,,,,,,,,,62432,uri
62433,train,,,,,,,,,62433,urine
62434,traitor,,,,,,,,,62434,uris
62435,trance,,,,,,,,,62435,urn
62436,tranquil,,,,,,,,,62436,ursa
62441,transfer,,,,,,,,,62441,us
62442,transform,,,,,,,,,62442,usa
62443,translate,,,,,,,,,62443,usaf
62444,transpire,,,,,,,,,62444,usage
62445,transport,,,,,,,,,62445,usc
62446,transpose,,,,,,,,,62446,usda
62451,trapdoor,,,,,,,,,62451,use
62452,trapeze,,,,,,,,,62452,useful
62453,trapezoid,,,,,,,,,62453,usgs
62454,trapped,,,,,,,,,62454,usher
62455,trapper,,,,,,,,,62455,usia
62456,trapping,,,,,,,,,62456,usn
62461,traps,,,,,,,,,62461,usps
62462,trash,,,,,,,,,62462,ussr
62463,travel,,,,,,,,,62463,usual
62464,traverse,,,,,,,,,62464,usurp
62465,travesty,,,,,,,,,62465,usury
62466,tray,,,,,,,,,62466,ut
62511,treachery,,,,,,,,,62511,utah
62512,treading,,,,,,,,,62512,utica
62513,treadmill,,,,,,,,,62513,utile
62514,treason,,,,,,,,,62514,utmost
62515,treat,,,,,,,,,62515,utter
62516,treble,,,,,,,,,62516,uu
62521,tree,,,,,,,,,62521,uuu
62522,trekker,,,,,,,,,62522,uuuu
62523,tremble,,,,,,,,,62523,uv
62524,trembling,,,,,,,,,62524,uvw
62525,tremor,,,,,,,,,62525,uw
62526,trench,,,,,,,,,62526,ux
62531,trend,,,,,,,,,62531,uy
62532,trespass,,,,,,,,,62532,uz
62533,triage,,,,,,,,,62533,v
62534,trial,,,,,,,,,62534,v's
62535,triangle,,,,,,,,,62535,va
62536,tribesman,,,,,,,,,62536,vacua
62541,tribunal,,,,,,,,,62541,vacuo
62542,tribune,,,,,,,,,62542,vade
62543,tributary,,,,,,,,,62543,vaduz
62544,tribute,,,,,,,,,62544,vague
62545,triceps,,,,,,,,,62545,vail
62546,trickery,,,,,,,,,62546,vain
62551,trickily,,,,,,,,,62551,vale
62552,tricking,,,,,,,,,62552,valet
62553,trickle,,,,,,,,,62553,valeur
62554,trickster,,,,,,,,,62554,valid
62555,tricky,,,,,,,,,62555,value
62556,tricolor,,,,,,,,,62556,valve
62561,tricycle,,,,,,,,,62561,vamp
62562,trident,,,,,,,,,62562,van
62563,tried,,,,,,,,,62563,vance
62564,trifle,,,,,,,,,62564,vane
62565,trifocals,,,,,,,,,62565,vary
62566,trillion,,,,,,,,,62566,vase
62611,trilogy,,,,,,,,,62611,vast
62612,trimester,,,,,,,,,62612,vat
62613,trimmer,,,,,,,,,62613,vault
62614,trimming,,,,,,,,,62614,vb
62615,trimness,,,,,,,,,62615,vc
62616,trinity,,,,,,,,,62616,vd
62621,trio,,,,,,,,,62621,ve
62622,tripod,,,,,,,,,62622,veal
62623,tripping,,,,,,,,,62623,veda
62624,triumph,,,,,,,,,62624,vee
62625,trivial,,,,,,,,,62625,veer
62626,trodden,,,,,,,,,62626,veery
62631,trolling,,,,,,,,,62631,vega
62632,trombone,,,,,,,,,62632,veil
62633,trophy,,,,,,,,,62633,vein
62634,tropical,,,,,,,,,62634,velar
62635,tropics,,,,,,,,,62635,veldt
62636,trouble,,,,,,,,,62636,vella
62641,troubling,,,,,,,,,62641,vellum
62642,trough,,,,,,,,,62642,venal
62643,trousers,,,,,,,,,62643,vend
62644,trout,,,,,,,,,62644,venial
62645,trowel,,,,,,,,,62645,venom
62646,truce,,,,,,,,,62646,vent
62651,truck,,,,,,,,,62651,venus
62652,truffle,,,,,,,,,62652,vera
62653,trump,,,,,,,,,62653,verb
62654,trunks,,,,,,,,,62654,verde
62655,trustable,,,,,,,,,62655,verdi
62656,trustee,,,,,,,,,62656,verge
62661,trustful,,,,,,,,,62661,verity
62662,trusting,,,,,,,,,62662,verna
62663,trustless,,,,,,,,,62663,verne
62664,truth,,,,,,,,,62664,versa
62665,try,,,,,,,,,62665,verse
62666,tubby,,,,,,,,,62666,verve
63111,tubeless,,,,,,,,,63111,very
